RUN	computerdatabase.TesteSicredi	testesicredi	1547996737334	0	3.0.2
USER	Teste Stress Avaliação Sicredi	143	START	1547996739428	1547996739428
USER	Teste Stress Avaliação Sicredi	144	START	1547996739431	1547996739431
USER	Teste Stress Avaliação Sicredi	145	START	1547996739433	1547996739433
USER	Teste Stress Avaliação Sicredi	146	START	1547996739435	1547996739435
USER	Teste Stress Avaliação Sicredi	147	START	1547996739437	1547996739437
USER	Teste Stress Avaliação Sicredi	148	START	1547996739438	1547996739438
USER	Teste Stress Avaliação Sicredi	149	START	1547996739439	1547996739439
USER	Teste Stress Avaliação Sicredi	150	START	1547996739442	1547996739442
USER	Teste Stress Avaliação Sicredi	151	START	1547996739445	1547996739445
USER	Teste Stress Avaliação Sicredi	152	START	1547996739447	1547996739447
USER	Teste Stress Avaliação Sicredi	153	START	1547996739450	1547996739450
USER	Teste Stress Avaliação Sicredi	154	START	1547996739452	1547996739452
USER	Teste Stress Avaliação Sicredi	155	START	1547996739453	1547996739453
USER	Teste Stress Avaliação Sicredi	156	START	1547996739455	1547996739455
USER	Teste Stress Avaliação Sicredi	157	START	1547996739457	1547996739457
USER	Teste Stress Avaliação Sicredi	158	START	1547996739458	1547996739458
USER	Teste Stress Avaliação Sicredi	159	START	1547996739460	1547996739460
USER	Teste Stress Avaliação Sicredi	160	START	1547996739461	1547996739461
USER	Teste Stress Avaliação Sicredi	161	START	1547996739464	1547996739464
USER	Teste Stress Avaliação Sicredi	162	START	1547996739466	1547996739466
USER	Teste Stress Avaliação Sicredi	163	START	1547996739468	1547996739468
USER	Teste Stress Avaliação Sicredi	164	START	1547996739469	1547996739469
USER	Teste Stress Avaliação Sicredi	165	START	1547996739470	1547996739470
USER	Teste Stress Avaliação Sicredi	166	START	1547996739471	1547996739471
USER	Teste Stress Avaliação Sicredi	167	START	1547996739472	1547996739472
USER	Teste Stress Avaliação Sicredi	168	START	1547996739473	1547996739473
USER	Teste Stress Avaliação Sicredi	169	START	1547996739475	1547996739475
USER	Teste Stress Avaliação Sicredi	170	START	1547996739476	1547996739476
USER	Teste Stress Avaliação Sicredi	171	START	1547996739477	1547996739477
USER	Teste Stress Avaliação Sicredi	172	START	1547996739478	1547996739478
USER	Teste Stress Avaliação Sicredi	173	START	1547996739479	1547996739479
USER	Teste Stress Avaliação Sicredi	174	START	1547996739480	1547996739480
USER	Teste Stress Avaliação Sicredi	175	START	1547996739482	1547996739482
USER	Teste Stress Avaliação Sicredi	176	START	1547996739484	1547996739484
USER	Teste Stress Avaliação Sicredi	177	START	1547996739486	1547996739486
USER	Teste Stress Avaliação Sicredi	178	START	1547996739488	1547996739488
USER	Teste Stress Avaliação Sicredi	179	START	1547996739489	1547996739489
USER	Teste Stress Avaliação Sicredi	180	START	1547996739490	1547996739490
USER	Teste Stress Avaliação Sicredi	181	START	1547996739492	1547996739492
USER	Teste Stress Avaliação Sicredi	182	START	1547996739494	1547996739494
USER	Teste Stress Avaliação Sicredi	183	START	1547996739495	1547996739495
USER	Teste Stress Avaliação Sicredi	184	START	1547996739498	1547996739498
USER	Teste Stress Avaliação Sicredi	185	START	1547996739501	1547996739501
USER	Teste Stress Avaliação Sicredi	186	START	1547996739503	1547996739503
USER	Teste Stress Avaliação Sicredi	187	START	1547996739505	1547996739505
USER	Teste Stress Avaliação Sicredi	188	START	1547996739507	1547996739507
USER	Teste Stress Avaliação Sicredi	189	START	1547996739509	1547996739509
